№,shop,brand,model,length_cm,condition,orig_price,price,url
141,xtreme.ge,HEAD,Shape VX R SLR Pro,130,new,999.0,459.0,https://www.xtreme.ge/en/shop/shape-vx-r-slr-pro-103455?page=3
142,xtreme.ge,HEAD,Shape VX R SLR Pro SET,130,new,699.0,559.0,https://www.xtreme.ge/en/shop/shape-vx-r-slr-pro-set-103462?page=3
143,xtreme.ge,HEAD,Shape VX R SLR Pro SET1 130 ORANGE/BLACK (10104303+11500601) 316340,130,new,,699.0,https://www.xtreme.ge/en/shop/shape-vx-r-slr-pro-set1-130-orange-black-10104303-11500601-316340-159091?page=5
144,xtreme.ge,SALOMON,SKI SET E ADDIKT + MI12 GW F80,149,new,2179.0,1739.0,https://www.xtreme.ge/en/shop/ski-set-e-addikt-mi12-gw-f80-103418?page=2
145,xtreme.ge,SALOMON,SKI SET E ADDIKT PRO 66 + MI12 GW F8,,new,,3599.0,https://www.xtreme.ge/en/shop/ski-set-e-addikt-pro-66-mi12-gw-f8-218423?page=8
146,xtreme.ge,SALOMON,SKI SET E ADDIKT PRO 76 + MI12 GW F8,,new,,3599.0,https://www.xtreme.ge/en/shop/ski-set-e-addikt-pro-76-mi12-gw-f8-218408?page=8
147,xtreme.ge,SALOMON,SKI SET E ADDIKT + Z12 GW F80,163,new,2179.0,1739.0,https://www.xtreme.ge/en/shop/ski-set-e-addikt-z12-gw-f80-103381?page=2
148,xtreme.ge,SALOMON,SKI SET E S/MAX 8 XT + M10 GW L80,,new,,2159.0,https://www.xtreme.ge/en/shop/ski-set-e-s-max-8-xt-m10-gw-l80-218405?page=8
149,xtreme.ge,SALOMON,SKI SET E S/MAX 8 XT + M10 GW L80 Oi,163,new,,2159.0,https://www.xtreme.ge/en/shop/ski-set-e-s-max-8-xt-m10-gw-l80-oi-103391?page=2
150,xtreme.ge,SALOMON,SKI SET E S/MAX 8 XT + M11 GW L80 Oi S26,,new,,2279.0,https://www.xtreme.ge/en/shop/ski-set-e-s-max-8-xt-m11-gw-l80-oi-s26-218417?page=8
151,xtreme.ge,SALOMON,SKI SET E S/MAX N°6 XT + M10 GW L80,,new,,1965.0,https://www.xtreme.ge/en/shop/ski-set-e-s-max-ndeg6-xt-m10-gw-l80-218369?page=8
152,xtreme.ge,SALOMON,SKI SET E SHORTMAX + M10 GW L80,125,new,1479.0,1179.0,https://www.xtreme.ge/en/shop/ski-set-e-shortmax-m10-gw-l80-103446?page=3
153,xtreme.ge,SALOMON,SKIS N QST 100,,new,,2695.0,https://www.xtreme.ge/en/shop/skis-n-qst-100-218349?page=8
154,xtreme.ge,SALOMON,SKIS N QST 94 BLACK Freeride,,new,,2665.0,https://www.xtreme.ge/en/shop/skis-n-qst-94-black-freeride-218364?page=8
155,xtreme.ge,SALOMON,SKIS N QST 94 ICED AQUA Freeride,,new,,2665.0,https://www.xtreme.ge/en/shop/skis-n-qst-94-iced-aqua-freeride-218361?page=8
156,xtreme.ge,SALOMON,SKIS N S/LAB QST BLANK,,new,,3145.0,https://www.xtreme.ge/en/shop/skis-n-s-lab-qst-blank-218427?page=8
157,xtreme.ge,SALOMON,SKIS N S/LAB QST BLANK Freeride,,new,,3145.0,https://www.xtreme.ge/en/shop/skis-n-s-lab-qst-blank-freeride-218360?page=8
158,xtreme.ge,SALOMON,SKIS NI S/RACE FIS SL  Set,,new,,4699.0,https://www.xtreme.ge/en/shop/skis-ni-s-race-fis-sl-set-218961?page=8
159,xtreme.ge,SALOMON,SKIS NX S/RACE PRIME SL 12m R SET,165,new,3399.0,2799.0,https://www.xtreme.ge/en/shop/skis-nx-s-race-prime-sl-12m-r-set-103377?page=2
160,xtreme.ge,HEAD,Supershape e-Magnum Performance Ski Set,149,new,,2739.0,https://www.xtreme.ge/en/shop/supershape-e-magnum-performance-ski-set-215311?page=5
161,xtreme.ge,HEAD,Supershape e-Magnum Performance Ski Set,156,new,,2739.0,https://www.xtreme.ge/en/shop/supershape-e-magnum-performance-ski-set-215311?page=5
162,xtreme.ge,HEAD,Supershape e-Magnum Performance Ski Set,163,new,,2739.0,https://www.xtreme.ge/en/shop/supershape-e-magnum-performance-ski-set-215311?page=5
163,xtreme.ge,HEAD,Supershape e-Rally Performance Ski Set,156,new,,2739.0,https://www.xtreme.ge/en/shop/supershape-e-rally-performance-ski-set-215314?page=5
164,xtreme.ge,HEAD,Supershape e-Rally Performance Ski Set,163,new,,2739.0,https://www.xtreme.ge/en/shop/supershape-e-rally-performance-ski-set-215314?page=5
165,xtreme.ge,HEAD,Supershape e-Rally Performance Ski Set,170,new,,2739.0,https://www.xtreme.ge/en/shop/supershape-e-rally-performance-ski-set-215314?page=5
166,xtreme.ge,HEAD,Supershape e-Speed Performance Set,170,new,1999.0,1639.0,https://www.xtreme.ge/en/shop/supershape-e-speed-performance-set-219057?page=9
167,xtreme.ge,HEAD,Supershape e-Speed Performance Ski Set,170,new,,2739.0,https://www.xtreme.ge/en/shop/supershape-e-speed-performance-ski-set-215319?page=5
168,xtreme.ge,HEAD,Supershape e-Speed Performance Ski Set,177,new,,2739.0,https://www.xtreme.ge/en/shop/supershape-e-speed-performance-ski-set-215319?page=5
